INDEX,NAME,MAKE,YEAR,MODEL
1,Safariz' 370,Forsberg Racing,2014,Nissan 'SafariZ' 370Z Safari Rally Tribute
2,#1 Evolution TA,Mitsubishi,2005,#1 Sierra Sierra Enterprises Lancer Evolution Time Attack
3,#100 Lynk&Co 03,Lynk & Co,2020,#100 Cyan Racing 03
4,#11 Ford F-150,Ford,2014,#11 Rockstar F-150 Trophy Truck
5,#1107 VW Bug,Volkswagen,1970,#1107 Deser Dingo Racing Stock Bug
6,#122 AC Class 1,Alumnicraft,2021,#122 Class 1 Buggy
7,#125 Extreme E,Extreme E,2022,#125 ABT Cupra XE
8,#13 Ford Mustang,Formula Drift,2015,#13 Ford Mustang
9,#14 Ford Fiesta,Ford,2017,#14 Rahal Letterman Lanigan Racing Fiesta
10,#151 FD Supra,Formula Drift,2020,#151 Toyota GR Supra
11,#179 Hammerhead,Jimco,2020,#179 Hammerhead Class 1
12,#185 Porsche 959,Porsche,1985,#185 959 Prodrive Rally Raid
13,#2 Audi S1,Audi,1986,#2 Audi Sport quattro S1
14,#2 Ford GT40,Ford,1966,#2 GT40 MK II
15,#20 MG MG6,MG,2020,#20 MG6 XPower
16,#2069 Bronco R,Ford,2020,#2069 Ford Performance Bronco R
17,#22 Extreme E,Extreme E,2022,#22 JBXE
18,#23 Extreme E,Extreme E,2022,#23 Genesys Andretti United
19,#23 Nissan RR,Nissan,2004,Pickup #23 Rally Raid
20,#23 Porsche 917,Porsche,1971,#23 917/20
21,#23 SIERRA ALPHA,SIERRA Cars,2020,#23 Yokohama ALPHA
22,#24 Ferrari P4,Ferrari,1967,#24 Ferrari Spa 330 P4
23,#24 M-B Truck,Mercedes-Benz,2015,#24 Tankpool24 Racing Truck
24,#24 M-B Truck FE,Mercedes-Benz,2015,#24 Tankpool24 Racing Truck Forza Edition
25,#240 Jimco TT,Jimco,2019,#240 Fastball Racing Spec Trophy Truck
26,#25 Ferrari 488,Ferrari,2017,#25 Corse Clienti 488 Challenge
27,#25 Ford Bronco,Ford,2017,"#25 ""Brocky"" Ultra4 Bronco RTR"
28,#25 RTR Mustang,Ford,2018,#25 Mustang RTR
29,#3 Chevy C8.R,Chevrolet,2020,#3 Corvette Racing C8.R
30,#34 Toyota Supra,Formula Drift,1995,#34 Toyota Supra MKIV
31,#34 VW Beetle,Volkswagen,2017,#34 Andretti Beetle
32,#357 Corvette,Formula Drift,2017,#357 Chevrolet Corvette Z06
33,#37 Pro 2 Truck,RJ Anderson,2016,#37 Polaris RZR-Rockstar Energy Pro 2 Truck
34,#37 Pro 4 Truck,RJ Anderson,2021,#37 Polaris RZR Pro 4 Truck
35,#4 Ford Focus,Ford,2001,#4 Ford Focus RS
36,#411 FD Corolla,Formula Drift,2019,#411 Toyota Corolla Hatchback
37,#42 Extreme E,Extreme E,2022,#42 XITE Racing Team
38,#43 Dodge Viper,Formula Drift,2006,#43 Dodge Viper SRT10
39,#44 Extreme E,Extreme E,2022,#44 X44
40,#4402 Ultra 4,Casey Currie Motorsports,2019,#4402 Ultra 4 'Trophy Jeep'
41,#5 Escort '77,Ford,1977,#5 Escort RS1800 MKII
42,#5 Extreme E,Extreme E,2022,#5 Veloce Racing
43,#51 Nissan 240SX,Formula Drift,1996,#51 Donut Media Nissan 240SX
44,#530 HSV Maloo,Formula Drift,2016,#530 HSV Maloo Gen-F
45,#55 Extreme E,Extreme E,2022,#55 ACCIONA | Sainz XE Team
46,#58 Extreme E,Extreme E,2022,#58 McLaren Racing
47,#6 Extreme E,Extreme E,2022,#6 Rosberg X Racing
48,#6 Lola T70,Lola,1969,#6 Penske Sunoco T70 MKIIIB
49,#6165 Truck,Alumnicraft,2022,#6165 Trick Truck
50,#63 Lambo Trofeo,Lamborghini,2018,#63 Squadra Corse Huracán Super Trofeo Evo
